,,,,,,
,,,,,,
SUBJECT,Version,Naish2,DynSlicing,Hybrid,execLength,executableLOC
Coreutils,06aeeecb,0.4342105263,0.6447368421,0.6282894737,172,304
Coreutils,2238ab57,0.7209302326,0.8953488372,0.8759689922,72,258
Coreutils,5ee7d8f5,0.6090909091,0.7545454545,0.7636363636,39,110
Coreutils,6124a384,0.9850374065,0.9644638404,0.9619700748,341,1604
Coreutils,62543570,0.9977703456,0.9297658863,0.9977703456,155,897
Coreutils,6fc0ccf7,0.6355140187,0.9657320872,0.9501557632,117,321
Coreutils,76f606a9,0.7007874016,0.8779527559,0.8700787402,76,254
Coreutils,86e4b778,0.5170068027,0.6054421769,0.9659863946,71,147
Coreutils,a04ddb8d,0.9968924798,0.9415786203,0.9968924798,437,1609
Coreutils,a860ca32,0.4129032258,0.7935483871,0.7612903226,91,155
Coreutils,b54b47f9,0.9411764706,0.6862745098,0.6699346405,148,306
Coreutils,b8108fd2,0.496969697,0.6848484848,0.6545454545,83,165
Coreutils,be7932e8,0.8474025974,0.6655844156,0.6493506494,163,308
Coreutils,ec48bead,0.7843137255,0.7908496732,0.7875816993,66,306
Coreutils,f7f398a1,0.8571428571,0.7841269841,0.7873015873,86,315
Grep,c96b0f2c,0.7083333333,0.8645833333,0.84375,56,192
Grep,2be0c659,0.4285714286,0.7354497355,0.7301587302,35,189
Grep,7aa698d3,0.6918918919,0.8540540541,0.8324324324,57,185
Grep,3c3bdace,0.7274484536,0.9993556701,0.9961340206,423,1552
Grep,c1cb19fe,0.6673346693,0.9519038076,0.9498997996,498,1497
Grep,8f08d8e2,0.4210526316,0.730994152,0.701754386,99,171
Grep,55cf7b6a,0.8964326812,0.9355581128,0.9942462601,90,869
Grep,9c45c193,0.9128878282,0.9367541766,0.9307875895,73,838
Grep,58195fab,0.6632183908,0.9310344828,0.9252873563,293,870
Grep,6d952bee,0.5675675676,0.8108108108,0.9324324324,32,74
Findutils,e6680237,0.9736526946,0.9592814371,0.9556886228,95,835
Findutils,183115d0,0.980952381,0.6571428571,0.980952381,51,105
Findutils,e1d0a991,0.9828220859,0.9840490798,0.9938650307,71,815
Findutils,93623752,0.8372287145,0.9966611018,0.9924874791,57,1198
Findutils,b445af98,0.98046875,0.91015625,0.98046875,124,256
Findutils,c8491c11,0.9114139693,0.9838160136,0.9829642249,52,1174
Findutils,dbcb10e9,0.9747166521,0.9851787271,0.9808195292,106,1147
Findutils,091557f6,0.6945606695,0.8535564854,0.8493723849,85,239
Findutils,07b941b1,0.4545454545,0.9990118577,0.9940711462,69,1012
Findutils,24e2271e,0.5988023952,0.8083832335,0.7964071856,77,167
Findutils,6e4cecb6,0.835589942,0.9709864603,0.9671179884,192,517
Findutils,66c536bb,0.3867595819,0.9965156794,0.9921602787,106,1148
Tcas,v1,0.9166666667,0.6,0.9166666667,47,60
Tcas,v2,0.7166666667,0.55,0.4833333333,46,60
Tcas,v3,0.25,0.6666666667,0.5833333333,46,60
Tcas,v4,0.95,0.6166666667,0.95,45,60
Tcas,v5,0.35,0.6333333333,0.55,46,60
Tcas,v6,0.8833333333,0.6166666667,0.5333333333,46,60
Tcas,v7,0.35,0.7166666667,0.6333333333,45,60
Tcas,v8,0.25,0.75,0.6666666667,46,60
Tcas,v9,0.6666666667,0.5833333333,0.5166666667,47,60
Tcas,v10,0.9,0.6166666667,0.5333333333,46,60
Tcas,v11,0.8965517241,0.7413793103,0.6551724138,45,58
Tcas,v12,0.35,0.6333333333,0.55,46,60
Tcas,v15,0.35,0.6333333333,0.55,46,60
Tcas,v16,0.25,0.7,0.6166666667,46,60
Tcas,v17,0.35,0.7166666667,0.6333333333,45,60
Tcas,v18,0.35,0.7333333333,0.65,45,60
Tcas,v19,0.35,0.75,0.6666666667,45,60
Tcas,v20,0.6833333333,0.5833333333,0.5166666667,46,60
Tcas,v21,0.6833333333,0.5833333333,0.5166666667,46,60
Tcas,v22,0.6666666667,0.6,0.5166666667,47,60
Tcas,v23,0.6666666667,0.5833333333,0.5166666667,47,60
Tcas,v24,0.6666666667,0.6,0.5166666667,47,60
Tcas,v25,0.9666666667,0.6166666667,0.9666666667,46,60
Tcas,v26,0.1666666667,0.6333333333,0.55,46,60
Tcas,v27,0.35,0.6333333333,0.55,46,60
Tcas,v28,0.8,0.5833333333,0.9166666667,46,60
Tcas,v29,0.6833333333,0.5833333333,0.5,44,60
Tcas,v30,0.7166666667,0.55,0.4833333333,46,60
Tcas,v31,0.8870967742,0.7258064516,0.9193548387,46,62
Tcas,v32,0.9193548387,0.7419354839,0.9193548387,45,62
Tcas,v33,0.3,0.75,0.6666666667,48,60
Tcas,v34,0.35,0.7,0.6166666667,46,60
Tcas,v35,0.8,0.55,0.9166666667,46,60
Tcas,v37,0.9833333333,0.55,0.9833333333,48,60
Tcas,v39,0.9666666667,0.6166666667,0.9666666667,46,60
Tcas,v40,0.7333333333,0.7166666667,0.6333333333,43,60
Tcas,v41,0.95,0.6166666667,0.95,45,60
Average,,0.6797712279,0.7515651944,0.7761426993,88.59459459,328.7972973
Median,,0.6976740356,0.7284003018,0.7919944425,47,68
